Fish_ID_Revised,Fish_ID,GillClip_ID_Revised,GillClip_ID,Collection_Date,RunTimingGroup,Collection_Location,Processing_Date,Col_Location_Lat,Col_Location_Long,Fish_Wt,Fish_Leng_1,Fish_Leng_1_tape,Fish_Leng_2,Fish_Leng_2_tape,Fish_Ht,Fish_Ht_tape,Fish_Wdth,Fish_Grth,Sex,Gonad_Wt,DWP#,Fem_Fecun_1_num,Fem_Fecun_1_wt,Fem_Fecun_2_num,Fem_Fecun_2_wt,Fem_Fecun_3_num,Fem_Fecun_3_wt,Fem_Egg_Sz_1,Fem_Egg_Sz_2,Fem_Egg_Sz_3,Carcass-guts_Wt,Oto_Well_ID,Strontium_marked_Y/N,Scales_Y/N,Scales_num,Fish_Ground_Y/N,Gonad_Saved_Y/N,Gonad_Saved_wt,Fat_Meter_1%_L,Fat_Meter_1%_R,Fat_Meter_2%_L,Fat_Meter_2%_R,Fat_Meter_3%_L,Fat_Meter_3%_R,Fat_Meter_4%_L,Fat_Meter_4%_R,Dissect_Comments,Date_LabDryStart,Fish+BagWt_g,Date_LabDryFinal,DryFish+BagWt_g,Pwater,Pdry,Dry_Comments,Date_BCProcess,Bomb_ID_1,Bomb_PelletWt_g_1,EE_Value_1,EnergyDensity_mJ/kg_1,EnergyPDry_1,Bomb_ID_2,Bomb_PelletWt_g_2,EE_value_2,EnergyDensity_mJ/kg_2,EnergyPDry_2,Bomb_ID_3,Bomb_PelletWt_g_3,EE_value_3,EnergyDensity_mJ/kg_3,EnergyPDry_3,Bomb_ID_4,Bomb_PelletWt_g_4,EE_value_4,EnergyDensity_mJ/kg_4,EnergyPDry_4,BC_comments
BC-47-2021,BC-47-2021,BC-47-21,BC-L-47,7/8/2021 (BC),Late,Baird Canyon,7/24/21,60.73831,-144.5687,1.898,44.5,,4.9,,11.3,,6.5,28.2,M,0.068,3-B6,,,,,,,,,,1.77,2-B2,N,Y,6,Y,Y,0.032,7.3,5.7,6.7,5.3,4.5,4.7,2.8,3.9,,9/27/21,114,10/1/21,37.7,0.6693,0.3307,,10/5/21,2,0.2791,955.4635,27.1564,8.980669123,,,,,,,,,,,,,,,,
BC-48-2021,BC-48-2021,BC-48-21,BC-L-48,7/8/2021 (BC),Late,Baird Canyon,7/23/21,60.73831,-144.5687,2.31,47.1,,4.7,,12.4,,7.1,31.7,M,0.05,2-C5,,,,,,,,,,2.2,1-F9,N,Y,6,Y,Y,0.028,7.4,8,7.8,8.5,2.8,6.2,3.1,6.1,,9/27/21,121,10/1/21,41.3,0.6587,0.3413,,10/5/21,4,0.3354,923.3249,25.7988,8.805706116,,,,,,,,,,,,,,,,
BC-49-2021,BC-49-2021,BC-49-21,BC-L-49,7/8/2021 (BC),Late,Baird Canyon,7/24/21,60.73831,-144.5687,2.172,46.8,,3.1,,11.6,,6.5,29.6,F,0.136,3-B4,10,0.3098,,,,,4,,,1.954,2-A12,N,Y,5,Y,Y,0.07,6.5,7.6,6.2,6.2,4.4,3,1.7,1.9,,9/27/21,92,10/1/21,29.9,0.675,0.325,,10/5/21,2,0.3456,955.4635,25.7946,8.383245,,,,,,,,,,,,,,,,
BC-50-2021,BC-50-2021,BC-50-21,BC-L-50,7/8/2021 (BC),Late,Baird Canyon,7/23/21,60.73831,-144.5687,2.45,48.7,,4.8,,12.2,,7.5,30.5,M,0.036,2-D5,,,,,,,,,,2.342,1-G5,Y,Y,5,Y,Y,0.016,8.4,8.3,6.7,6.1,2.9,4.2,1.6,2.2,,10/5/21,88,10/8/21,28.4,0.6773,0.3227,,10/8/21,2,0.3522,955.4635,27.0375,8.725738636,,,,,,,,,,,,,,,,
BC-51-2021,BC-51-2021,BC-51-21,BC-L-51,7/8/2021 (BC),Late,Baird Canyon,7/23/21,60.73831,-144.5687,2.544,48,,5.5,,13,,7.4,32.6,M,0.046,2-C7,,,,,,,,,,2.394,1-F11,N,Y,5,Y,Y,0.022,6.4,5.5,3.7,5.7,2.2,3.2,2.2,1.8,,10/4/21,81.6,10/7/21,26.8,0.6716,0.3284,,10/8/21,4,0.4261,923.3249,26.5413,8.716995588,,,,,,,,,,,,,,,,
BC-52-2021,BC-52-2021,BC-52-21,BC-L-52,7/8/2021 (BC),Late,Baird Canyon,7/24/21,60.73831,-144.5687,1.4,39.5,,3.1,,9.9,,6,26.6,F,0.086,3-B8,10,0.3831,,,,,4.3,,,1.264,2-B4,N,Y,5,Y,Y,0.04,6.1,6.1,5.8,4.8,2.8,3.4,3.1,3.8,,10/4/21,83.4,10/7/21,29,0.6523,0.3477,,10/8/21,2,0.1921,955.4635,26.7011,9.284555156,,,,,,,,,,,,,,,,
BC-53-2021,BC-53-2021,BC-53-21,BC-L-53,7/8/2021 (BC),Late,Baird Canyon,7/23/21,60.73831,-144.5687,2.274,45.6,,5,,12.5,,7.3,31.8,M,0.048,2-D2,,,,,,,,,,2.158,1-G2,N,Y,5,Y,Y,0.026,2.9,3.4,1.9,2.5,1.4,1.5,1.1,1.3,,10/4/21,87.5,10/8/21,28,0.68,0.32,,10/8/21,4,0.3117,923.3249,26.1436,8.365952,,,,,,,,,,,,,,,,
BC-54-2021,BC-54-2021,BC-54-21,BC-L-54,7/8/2021 (BC),Late,Baird Canyon,7/23/21,60.73831,-144.5687,0.614,30.1,,2.7,,8.7,,4.9,20.5,M,0.06,2-C4,,,,,,,,,,0.542,1-F8,NO READ,Y,5,Y,Y,0.03,1,1.8,0.8,1.7,0.7,0.8,0.7,0.9,,10/4/21,56.8,10/7/21,14.7,0.7412,0.2588,,10/8/21,2,0.2764,955.4635,23.9872,6.20795493,,,,,,,,,,,,,,,,
BC-55-2021,BC-55-2021,BC-55-21,BC-L-55,7/8/2021 (BC),Late,Baird Canyon,7/23/21,60.73831,-144.5687,2.002,46.1,,4.3,,11.7,,6.4,29.7,M,0.094,2-D1,,,,,,,,,,1.84,1-G1,N,Y,5,Y,Y,0.046,5.4,6.7,4.3,4.8,2.1,2.3,1.3,1.8,,10/4/21,81.2,10/8/21,26.2,0.6773,0.3227,,10/8/21,4,0.287,923.3249,26.083,8.41594335,,,,,,,,,,,,,,,,
BC-56-2021,BC-56-2021,BC-56-21,BC-L-56,7/8/2021 (BC),Late,Baird Canyon,7/23/21,60.73831,-144.5687,2.65,47.7,,6.2,,13.2,,7.5,32.4,M,0.082,2-D4,,,,,,,,,,2.508,1-G4,N,Y,5,Y,Y,0.04,1,1,0.7,0.8,0.6,1.2,0.5,0.7,,10/4/21,117.4,10/8/21,32.7,0.7215,0.2785,,10/8/21,2,0.2593,955.4635,24.6501,6.865913714,,,,,,,,,,,,,,,,
BC-57-2021,BC-57-2021,BC-57-21,BC-L-57,7/8/2021 (BC),Late,Baird Canyon,7/24/21,60.73831,-144.5687,1.14,39,,3,,9.1,,5.8,23.5,F,0.076,3-A7,10,0.3482,,,,,4,,,1.024,2-A7,N,Y,5,Y,Y,0.044,7.5,6.7,4.7,6,4.5,6.7,2.6,2.5,,10/4/21,79,10/7/21,24.4,0.6911,0.3089,,10/8/21,4,0.3116,923.3249,26.697,8.245655696,,,,,,,,,,,,,,,,
BC-58-2021,BC-58-2021,BC-58-21,BC-L-58,7/8/2021 (BC),Late,Baird Canyon,7/23/21,60.73831,-144.5687,2.364,48,,4.5,,12.8,,7,31.5,M,0.056,2-C8,,,,,,,,,,2.24,1-F12,N,Y,5,Y,Y,0.03,4.7,4.8,4,4.3,1,1.8,0.8,1.2,,10/4/21,83.9,10/7/21,25,0.702,0.298,,10/8/21,2,0.2917,955.4635,26.3691,7.857300358,,,,,,,,,,,,,,,,
BC-59-2021,BC-59-2021,BC-59-21,BC-L-59,7/8/2021 (BC),Late,Baird Canyon,7/24/21,60.73831,-144.5687,1.548,42.8,,3,,10,,6.6,26.4,F,0.11,3-B7,10,0.4809,,,,,5.05,,,1.388,2-B3,N,Y,5,Y,Y,0.048,7.3,6.3,6.3,5.4,3,4.6,2.9,4.1,,10/4/21,97.1,10/8/21,33.1,0.6591,0.3409,,10/8/21,4,0.4367,923.3249,26.5385,9.046594748,,,,,,,,,,,,,,,,
BC-60-2021,BC-60-2021,BC-60-21,BC-L-60,7/8/2021 (BC),Late,Baird Canyon,7/23/21,60.73831,-144.5687,2.85,49.4,,6.5,,13.2,,7.7,33.5,M,0.076,2-D3,,,,,,,,,,2.704,1-G3,N,Y,5,Y,Y,0.036,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,10/4/21,80.5,10/7/21,22,0.7267,0.2733,,10/8/21,2,0.279,955.4635,23.1759,6.333786335,,,,,,,,,,,,,,,,
KL-1-2021,KL-1-2021,KL-1-21,KL-L-1,7/5/2021 (KL),,Klutina Lake,7/23/21,61.95150431,-145.3324535,1.942,45,,4.3,,11.3,,6.8,28.5,M,0.064,2-B8,,,,,,,,,,1.81,1-F4,N,Y,5,Y,Y,0.03,0.8,0.7,0.7,1,1,0.9,1.1,1.3,,10/6/21,91.8,10/11/21,23.3,0.7462,0.2538,,10/12/21,4,0.4248,923.3249,23.1143,5.866701416,,,,,,,,,,,,,,,,
KL-2-2021,KL-2-2021,KL-2-21,KL-L-2,7/5/2021 (KL),,Klutina Lake,7/23/21,61.95150431,-145.3324535,2.276,49,,7,,12.8,,7.1,30.6,M,0.044,2-A3,,,,,,,,,,2.17,1-E3,N,Y,5,Y,Y,0.024,0.5,0.5,0.6,0.5,0.4,0.6,1,1.1,,10/6/21,118.6,10/11/21,25.6,0.7841,0.2159,,10/12/21,2,0.3845,955.4635,21.2564,4.588227993,4,0.3751,923.3249,19.5435,4.218495784,,,,,,,,,,,
KL-3-2021,KL-3-2021,KL-3-21,KL-L-3,7/11/2021 (KL),,Klutina Lake,7/24/21,61.95150431,-145.3324535,1.824,45.3,,4.2,,11.6,,6.8,27.9,F,0.244,2-E6,5,0.2287,,,,,4.8,,,1.512,1-H2,N,Y,5,Y,Y,0.102,1.5,1.2,1.2,1.1,1.3,1.3,1.2,1.2,,10/6/21,128.9,10/11/21,33.6,0.7393,0.2607,,10/12/21,2,0.3117,955.4635,25.2245,6.575199379,,,,,,,,,,,,,,,,
KL-4-2021,KL-4-2021,KL-4-21,KL-L-4,7/11/2021 (KL),,Klutina Lake,7/24/21,61.95150431,-145.3324535,1.848,45.8,,4.9,,11,,6.6,28,F,0.208,2-E2,5,0.2744,,,,,4.6,,,1.588,1-G10,N,Y,5,Y,Y,0.1,1.2,1.1,1.3,1.2,1.3,1.2,1.1,0.8,,10/6/21,123.4,10/11/21,32.6,0.7358,0.2642,,10/12/21,4,0.3177,923.3249,23.6022,6.235265154,,,,,,,,,,,,,,,,
KL-5-2021,KL-5-2021,KL-5-21,KL-L-5,7/13/2021 (KL),,Klutina Lake,7/23/21,61.95150431,-145.3324535,2.128,45.7,,5,,12.3,,7.3,29.7,M,0.058,2-B7,,,,,,,,,,2.004,1-F3,N,Y,5,Y,Y,0.028,0.9,0.8,0.7,0.9,0.5,1,0.6,1.4,,10/6/21,97.4,10/11/21,26.2,0.731,0.269,,10/12/21,2,0.2668,955.4635,23.8007,6.402241684,,,,,,,,,,,,,,,,
KL-6-2021,KL-6-2021,KL-6-21,KL-L-6,7/13/2021 (KL),,Klutina Lake,7/24/21,61.95150431,-145.3324535,1.582,44,,4.3,,10.5,,6.5,26.8,F,0.168,2-E5,5,0.2523,,,,,4.95,,,1.352,1-H1,N,Y,5,Y,Y,0.086,1.8,1.7,1.2,1.3,1.7,1.2,0.6,1.1,,10/6/21,87.8,10/11/21,23.2,0.7358,0.2642,,10/12/21,4,0.2005,923.3249,23.7654,6.279695672,,,,,,,,,,,,,,,,
KL-7-2021,KL-7-2021,KL-7-21,KL-L-7,7/13/2021 (KL),,Klutina Lake,7/23/21,61.95150431,-145.3324535,2.322,48.2,,5,,12.2,,7.2,30.5,M,0.056,2-C1,,,,,,,,,,2.166,1-F5,N,Y,5,Y,Y,0.028,1.5,1.5,1.4,0.8,1,0.8,1.4,0.8,,10/6/21,90.4,10/11/21,26.5,0.7069,0.2931,,10/12/21,2,0.2595,955.4635,24.6985,7.240157633,,,,,,,,,,,,,,,,
UKL-1-2021,UKL-1-2021,UKL-1-21,UKL-1,8/10/2021 (Upper Klutina),,Upper Klutina,9/3/21,61.751416,-145.716282,2.1,45.8,,7.6,,13.9,,7.5,31.8,M,0.1,3-C7,,,,,,,,,,1.862,2-B11,N,Y,5,Y,Y,0.05,0.7,0.9,1.1,1,1.2,0.5,1.1,0.4,,10/6/21,128.8,10/11/21,33.4,0.7407,0.2593,,10/12/21,4,0.3324,923.3249,23.7464,6.157839752,,,,,,,,,,,,,,,,
MA-1-2021,MA-1-2021,MA-1-21,MA-1,7/18/2021 (MA),,Mahlo,7/24/21,61.73588,-145.7294181,2.022,43.6,,5.3,,13.6,,6.5,31.8,F,0.378,2-F7,6,0.7286,,,,,6.2,,,1.582,1-H11,N,Y,5,Y,Y,0.176,1.1,1,1.3,0.9,0.8,0.8,0.9,1,,10/6/21,130.8,10/11/21,32.2,0.7538,0.2462,,10/12/21,2,0.2932,955.4635,25.1648,6.195004281,,,,,,,,,,,,,,,,
MA-2-2021,MA-2-2021,MA-2-21,MA-2,7/18/2021 (MA),,Mahlo,7/24/21,61.73588,-145.7294181,1.928,43.3,,5,,12.5,,6.3,30.5,F,0.374,2-F3,7,0.654,,,,,5.6,,,1.498,1-H7,N,Y,5,Y,Y,0.17,0.8,1,0.8,0.8,0.7,0.6,1,0.8,,10/6/21,141.9,10/11/21,36.2,0.7449,0.2551,,10/12/21,4,0.2923,923.3249,24.3645,6.215608879,,,,,,,,,,,,,,,,
MA-3-2021,MA-3-2021,MA-3-21,MA-3,7/18/2021 (MA),,Mahlo,7/23/21,61.73588,-145.7294181,1.808,40.5,,7,,14.4,,6.5,31.6,M,0.068,1-F1,,,,,,,,,,1.656,1-D5,N,Y,5,Y,Y,0.042,0.6,0.4,0.6,0.4,0.6,0.4,0.6,0.5,,10/6/21,109.5,10/11/21,24,0.7808,0.2192,,10/12/21,2,0.3227,955.4635,22.8666,5.011857534,,,,,,,,,,,,,,,,
MA-4-2021,MA-4-2021,MA-4-21,MA-4,7/18/2021 (MA),,Mahlo,7/23/21,61.73588,-145.7294181,1.768,44.3,,7,,13.3,,6,30.3,M,0.054,1-F3,,,,,,,,,,1.65,1-D7,N,Y,5,Y,Y,0.028,0.5,0.5,0.4,0.4,0.5,0.6,0.6,0.6,,10/6/21,117.3,10/11/21,25.4,0.7835,0.2165,,10/12/21,4,0.2785,923.3249,20.4498,4.428174936,,,,,,,,,,,,,,,,
MA-5-2021,MA-5-2021,MA-5-21,MA-5,7/18/2021 (MA),,Mahlo,7/23/21,61.73588,-145.7294181,2.238,46.1,,8.4,,14.3,,6.3,33.9,M,0.05,1-F2,,,,,,,,,,2.106,1-D6,N,Y,5,Y,Y,0.024,0.6,0.4,0.7,0.5,0.6,0.5,0.6,0.5,,10/6/21,112,10/11/21,26.3,0.7652,0.2348,,10/12/21,2,0.2094,955.4635,23.7454,5.57592875,,,,,,,,,,,,,,,,
MA-6-2021,MA-6-2021,MA-6-21,MA-6,7/18/2021 (MA),,Mahlo,7/23/21,61.73588,-145.7294181,2.678,50,,8.4,,16.8,,6.7,36.8,M,0.066,1-F4,,,,,,,,,,2.494,1-D8,N,Y,5,Y,Y,0.034,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,,10/6/21,131.9,10/11/21,29.3,0.7779,0.2221,,10/12/21,4,0.3282,923.3249,22.3332,4.961052009,,,,,,,,,,,,,,,,
MA-7-2021,MA-7-2021,MA-7-21,MA-7,7/18/2021 (MA),,Mahlo,7/24/21,61.73588,-145.7294181,1.752,43.2,,4.8,,12.5,,6.6,29,F,0.336,2-F4,6,0.499,,,,,5.65,,,1.378,1-H8,N,Y,5,Y,Y,0.15,0.6,0.6,0.5,0.7,0.6,0.6,0.5,0.7,,10/6/21,123.1,10/11/21,27.8,0.7742,0.2258,,10/12/21,2,0.2709,955.4635,23.6048,5.330734687,,,,,,,,,,,,,,,,
MA-8-2021,MA-8-2021,MA-8-21,MA-8,7/18/2021 (MA),,Mahlo,7/23/21,61.73588,-145.7294181,2.33,47.3,,7.6,,16,,6,35.4,M,0.048,1-F5,,,,,,,,,,2.18,1-D9,N,Y,5,Y,Y,0.024,0.6,0.5,0.5,0.5,0.6,0.7,0.6,0.7,,10/6/21,92.8,10/11/21,21.4,0.7694,0.2306,,10/12/21,4,0.2015,923.3249,22.2291,5.126107112,,,,,,,,,,,,,,,,
MA-9-2021,MA-9-2021,MA-9-21,MA-9,7/18/2021 (MA),,Mahlo,7/24/21,61.73588,-145.7294181,1.874,45.2,,3.8,,12.3,,7.2,30.4,F,0.356,3-A4,10,1.2,,,,,5.95,,,1.474,2-A4,N,Y,5,Y,Y,0.202,0.5,0.8,0.4,1,0.5,1.1,0.5,1.3,,10/6/21,109.4,10/11/21,25.7,0.7651,0.2349,,10/12/21,2,0.3686,955.4635,23.264,5.465126143,4,0.3181,923.3249,21.2536,4.992847532,,,,,,,,,,,
MA-10-2021,MA-10-2021,MA-10-21,MA-10,7/18/2021 (MA),,Mahlo,7/24/21,61.73588,-145.7294181,1.686,43.3,,3.7,,11.3,,6.8,28.2,F,0.33,3-A8,10,1.1884,,,,,6.05,,,1.292,2-A8,N,Y,5,Y,Y,0.148,0.5,1,0.5,0.8,0.4,0.6,0.5,0.7,,10/6/21,83.1,10/11/21,20.9,0.7485,0.2515,,10/12/21,4,0.3308,955.4635,23.6591,5.950363297,,,,,,,,,,,,,,,,
MA-11-2021,MA-11-2021,MA-11-21,MA-11,8/10/2021 (MA),,Mahlo,9/3/21,61.73588,-145.7294181,2.274,46.6,,8.8,,16.5,,5.8,35.1,M,0.046,3-D5,,,,,,,,,,2.11,2-C5,N,Y,5,Y,Y,0.024,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.6,,10/6/21,112,10/11/21,19.9,0.8223,0.1777,,10/12/21,2,0.2298,923.3249,17.78,3.159125,,,,,,,,,,,,,,,,
MA-12-2021,MA-12-2021,MA-12-21,MA-12,8/10/21 (MA),,Mahlo,9/5/21,61.73588,-145.7294181,0.932,40.2,,3.2,,9.5,,4.3,22.4,F,,4-D4,8,0.4546,,,,,4.6,,,0.856,2-G4,N,Y,5,Y,N,,0.4,0.4,0.4,0.4,0.4,0.5,0.8,0.5,Partial Spawned,10/6/21,73,10/11/21,13.3,0.8178,0.1822,,10/12/21,4,0.236,955.8343,20.4226,3.720829863,,,,,,,,,,,,,,,,
MA-13-2021,MA-13-2021,MA-13-21,MA-13,8/10/2021 (MA),,Mahlo,9/4/21,61.73588,-145.7294181,0.712,36,,3.1,,9.2,,4.1,20.8,F,,4-A1,10,0.5562,,,,,3.7,,,0.606,2-E1,N,Y,6,Y,N,,0.4,0.4,0.3,0.4,0.4,0.4,0.8,0.4,,10/6/21,59.3,10/11/21,13,0.7808,0.2192,,10/12/21,2,0.2429,923.3249,17.2273,3.776642496,,,,,,,,,,,,,,,,
MA-14-2021,MA-14-2021,MA-14-21,MA-14,8/10/2021 (MA),,Mahlo,9/5/21,61.73588,-145.7294181,0.906,39.5,,3.8,,9.8,,4.3,22,F,,4-C4,8,0.6293,,,,,3.8,,,0.848,2-F8,N,Y,5,Y,N,,0.4,0.4,0.4,0.5,0.4,0.4,0.6,0.6,Spawned out,10/6/21,104.3,10/11/21,18.2,0.8255,0.1745,,10/12/21,4,0.2355,955.8343,19.0294,3.320566443,,,,,,,,,,,,,,,,
MA-15-2021,MA-15-2021,MA-15-21,MA-15,8/10/2021 (MA),,Mahlo,9/4/21,61.73588,-145.7294181,0.854,37.8,,3.4,,9.1,,4,21.6,F,,4-A5,5,0.4766,,,,,4.55,,,0.796,2-E5,N,Y,5,Y,N,,0.4,0.5,0.8,0.4,0.9,0.6,0.4,0.5,,10/7/21,47.2,10/10/21,10.5,0.7775,0.2225,,10/12/21,2,0.1814,923.3249,16.9026,3.760112288,,,,,,,,,,,,,,,,
MA-16-2021,MA-16-2021,MA-16-21,MA-16,8/10/2021 (MA),,Mahlo,9/5/21,61.73588,-145.7294181,0.992,40.1,,4.6,,10,,4.2,23.1,F,,4-D3,,,,,,,,,,0.936,2-G3,N,Y,5,Y,N,,0.4,0.8,0.4,0.4,0.5,0.5,1,0.5,spawned out,10/7/21,72.7,10/10/21,14.3,0.8033,0.1967,,10/12/21,4,0.2551,955.8343,19.8412,3.902739477,,,,,,,,,,,,,,,,
MA-17-2021,MA-17-2021,MA-17-21,MA-17,8/10/2021 (MA),,Mahlo,9/3/21,61.73588,-145.7294181,0.872,34,,5.4,,12,,4.3,25.7,M,0.026,3-C2,,,,,,,,,,0.816,2-B6,N,Y,5,Y,Y,0.014,0.5,0.4,0.5,0.5,0.5,0.4,0.5,0.4,,10/7/21,103.4,10/10/21,19.9,0.8075,0.1925,,10/12/21,2,0.3161,923.3249,20.9833,4.03837205,,,,,,,,,,,,,,,,
MA-18-2021,MA-18-2021,MA-18-21,MA-18,8/10/2021 (MA),,Mahlo,9/3/21,61.73588,-145.7294181,2.354,47,,9.1,,15.7,,6.5,35.5,M,0.048,3-E6,,,,,,,,,,2.226,2-D2,N,Y,5,Y,Y,0.024,0.4,0.3,0.3,0.3,0.5,0.7,0.4,0.5,,10/7/21,96.4,10/10/21,17.6,0.8174,0.1826,,10/12/21,4,0.3012,955.8343,19.8509,3.624230705,,,,,,,,,,,,,,,,
MA-19-2021,MA-19-2021,MA-19-21,MA-19,8/10/2021 (MA),,Mahlo,9/3/21,61.73588,-145.7294181,1.226,39,,5.8,,12.2,,5.1,27.5,M,0.04,3-C1,,,,,,,,,,1.136,2-B5,N,Y,5,Y,Y,0.022,0.8,0.5,0.7,0.6,0.6,0.5,0.6,0.4,,10/7/21,113.6,10/10/21,23.9,0.7896,0.2104,,10/12/21,4,0.4298,923.3249,19.7383,4.152688116,,,,,,,,,,,,,,,,
MA-20-2021,MA-20-2021,MA-20-21,MA-20,8/10/2021 (MA),,Mahlo,9/3/21,61.73588,-145.7294181,0.456,28,,3,,8.5,,3.8,19.6,M,0.024,3-C3,,,,,,,,,,0.416,2-B7,N,Y,5,Y,Y,0.012,1,0.7,1.1,0.6,1.6,0.5,1.7,0.8,,10/7/21,80.2,10/10/21,16.6,0.793,0.207,,10/12/21,2,0.3338,955.8343,21.2459,4.397530424,,,,,,,,,,,,,,,,
SA-1-2021,SA-1-2021,SA-1-21,SA-1,7/18/2021 (SA),,St Anne,7/24/21,61.73953006,-145.9685194,2.122,46.2,,4.4,,13.6,,6.9,31.7,F,0.408,2-F8,10,0.8256,,,,,6.2,,,1.624,1-H12,N,Y,5,Y,Y,0.2,0.5,0.9,0.5,0.5,0.6,0.7,0.7,0.9,,10/6/21,72.7,10/11/21,17.1,0.7648,0.2352,,10/12/21,4,0.3008,923.3249,23.5817,5.546727235,,,,,,,,,,,,,,,,
SA-2-2021,SA-2-2021,SA-2-21,SA-2,7/18/2021 (SA),,St Anne,7/23/21,61.73953006,-145.9685194,2.796,48.2,,8.3,,18.4,,6,40.7,M,0.046,1-F8,,,,,,,,,,2.626,1-D12,N,Y,5,Y,Y,0.02,0.4,0.4,0.5,0.4,0.4,0.4,0.5,0.5,,10/6/21,118.9,10/11/21,23.7,0.8007,0.1993,,10/12/21,2,0.2613,955.8343,22.3577,4.456496972,,,,,,,,,,,,,,,,
SA-3-2021,SA-3-2021,SA-3-21,SA-3,7/18/2021 (SA),,St Anne,7/24/21,61.73953006,-145.9685194,1.96,45.8,,5.6,,12.7,,6.3,30.2,F,0.382,2-F5,7,0.8175,,,,,5.6,,,1.538,1-H9,N,Y,5,Y,Y,0.176,0.7,0.7,0.7,0.6,0.7,0.6,0.6,0.7,,10/6/21,115.6,10/11/21,28.6,0.7526,0.2474,,10/12/21,4,0.3771,923.3249,22.171,5.485212803,,,,,,,,,,,,,,,,
SA-4-2021,SA-4-2021,SA-4-21,SA-4,7/18/2021 (SA),,St Anne,7/24/21,61.73953006,-145.9685194,1.722,44.2,,4.5,,12.8,,6.6,29.8,F,0.338,2-F6,7,0.9003,,,,,5.8,,,1.34,1-H10,N,Y,5,Y,Y,0.056,0.6,0.6,0.8,0.7,0.6,0.7,0.6,1,,10/6/21,144.6,10/11/21,33.9,0.7656,0.2344,,10/12/21,2,0.3161,955.8343,24.4966,5.742978838,4,0.337,923.3249,23.4965,5.50851556,,,,,,,,,,,
SA-5-2021,SA-5-2021,SA-5-21,SA-5,7/18/2021 (SA),,St Anne,7/23/21,61.73953006,-145.9685194,2.758,48.7,,8.2,,17.5,,6.4,38.2,M,0.048,1-F7,,,,,,,,,,,1-D11,N,Y,5,Y,Y,0.026,0.5,0.4,0.6,0.4,0.5,0.5,0.5,0.5,,10/6/21,112,10/11/21,24.4,0.7821,0.2179,,10/13/21,4,0.322,955.8343,21.1558,4.608942143,,,,,,,,,,,,,,,,
SA-6-2021,SA-6-2021,SA-6-21,SA-6,7/18/2021 (SA),,St Anne,7/23/21,61.73953006,-145.9685194,3.068,49.1,,7.3,,17.6,,6.7,39.5,M,0.05,1-F6,,,,,,,,,,2.894,1-D10,N,Y,5,Y,Y,0.022,0.6,0.5,0.4,0.5,0.5,0.5,0.5,0.5,,10/6/21,116.9,10/11/21,26.2,0.7759,0.2241,,10/13/21,2,0.2818,923.3249,21.6628,4.855135672,,,,,,,,,,,,,,,,
SA-7-2021,SA-7-2021,SA-7-21,SA-7,7/18/2021 (SA),,St Anne,7/24/21,61.73953006,-145.9685194,1.782,44.8,,3.8,,12.4,,6.2,30.1,F,0.346,3-A3,10,1.2252,,,,,5.8,,,1.382,2-A3,N,Y,5,Y,Y,0.126,0.4,0.6,0.4,0.4,0.4,0.5,0.6,1,,10/6/21,93.7,10/11/21,21.9,0.7663,0.2337,,10/13/21,4,0.3286,955.8343,21.604,5.049387407,,,,,,,,,,,,,,,,
SA-8-2021,SA-8-2021,SA-8-21,SA-8,7/18/2021 (SA),,St Anne,7/24/21,61.73953006,-145.9685194,1.89,46.2,,4,,13.1,,5.9,30.6,F,0.352,3-A2,10,0.996,,,,,6,,,1.554,2-A2,N,Y,5,Y,Y,0.036,0.8,0.5,0.4,0.4,0.4,0.6,0.5,0.7,,10/6/21,78.2,10/11/21,18.6,0.7621,0.2379,,10/13/21,2,0.36,923.3249,21.2416,5.052349872,,,,,,,,,,,,,,,,
SA-9-2021,SA-9-2021,SA-9-21,SA-9,7/18/2021 (SA),,St Anne,7/23/21,61.73953006,-145.9685194,2.686,46.2,,8.3,,16.8,,6.4,36.6,M,0.05,2-A2,,,,,,,,,,2.498,1-E2,N,Y,5,Y,Y,0.022,0.7,0.5,0.6,0.5,0.5,0.5,0.5,0.5,,10/6/21,120.9,10/11/21,24.3,0.799,0.201,,10/13/21,4,0.3059,955.8343,23.8329,4.790235484,,,,,,,,,,,,,,,,
