Collection,ColLoc_Lat,ColLoc_Long,dd_lat,dd_long,Dist_M,Dist_Km,elevation_M,Snap_Node
fish creek gulkana,63.100042799999997,-145.481274,63.100000000000001,-145.481,473440.328,473.4400024,995,"(576657.5313692467, 6997633.62297476)"
gulkana hatchery,63.067326690000002,-145.5138318,63.067399999999999,-145.514,467924.5612,467.9200134,947,"(575084.8167194506, 6993962.800455344)"
mentasta,62.917896240200001,-143.8216446,62.917900000000003,-143.822,471762.0092,471.7600098,632,"(661395.726503802, 6980429.137017055)"
tanada,62.451329999999999,-143.382153,62.451300000000003,-143.382,472002.6458,472,883,"(686612.4277324236, 6929686.183678183)"
st anne,61.739530060000000,-145.9685194,61.739500000000000,-145.969,319020.5225,319.019989,538,"(554452.7116507518, 6845588.4515699055)"
mahlo,61.735880000000002,-145.7294181,61.734400000000001,-145.729,306710.2079,306.7099915,537,"(567122.2550842296, 6845249.6384508675)"
long lake,61.379208790000000,-143.30713,61.379199999999997,-143.307,258602.208,258.6000061,463,"(697272.3246220222, 6810605.864308896)"
copper lake,62.427248929999998,-143.4817789,62.427199999999999,-143.482,472477.8039,472.480011,930,"(681623.974466247, 6926722.752586939)"
klutina river,61.951504309999997,-145.3324535,61.951900000000002,-145.333,261356.697,261.3599854,325,"(587453.3487217199, 6869940.611621116)"
upper klutina,61.751415999999999,-145.716282,61.750399999999999,-145.719,306993.8383,306.9899902,548,"(567622.0709816676, 6847037.927293489)"