GSI,latitude,longitude,dd_lat,dd_long,Distance__m_,Elevation__m_,F8,Dist_gis_m,Elev_gis_m,work_km2
Bremner,61.01632,-144.50581,61.016317,-144.505787,,,,110272.14,76,8.38068264
Chitina Long Lake (CL),61.3723,-143.3479,61.37917,-143.307116,258602.21,463,,258752.38,430,111.2635234
Chitina Tana River,60.90318,-142.7216,60.903177,-142.721577,,,,336321.99,443,148.9906416
Chitina Tebay,61.39396,-144.00984,61.380352,-143.999081,,,,211015.06,199,41.99199694
Chitina_avg,,,,,,,,,,100.7487206
Tonsina Lake Outlet,61.52039,-145.49908,61.520394,-145.498796,,,,281186.18,575,161.6820535
Tonsina Klutina Outlet,,,,,,,,,,160.7660338
Klutina St Anne (CL),61.73953,-145.968519,61.739464,-145.969113,319020.52,538,,319323.05,531,169.5605396
Klutina Mahlo (CL),61.73588,-145.729418,61.734411,-145.72945,306710.21,537,,306987.7,537,164.8523949
Klutina Outlet (CL),61.751416,-145.716282,61.750373,-145.719326,306993.84,548,,303320.71,527,159.8500142
Klutina Banana Lake,61.45687,-146.06226,61.456462,-146.06227,,,,352573.7,578,203.7875986
Klutina_avg,,,,,,,,,,174.5126368
Tazlina,62.12836,-146.62309,62.128358,-146.623066,,,,419947.86,704,295.6432934
Gulkana Keg Creek,62.72392,-146.43522,62.723918,-146.435196,,,,479710.38,724,347.3103151
Gulkana Paxson outlet,62.8552,-145.6137,62.855295,-145.609742,,,,437517.99,780,341.2640322
Gulkana Swede Lake,62.99066,-145.89165,62.990658,-145.891626,,,,475611.7,854,406.1723918
Gulkana Fish Creek (CL),63.100043,-145.481274,63.099966,-145.481276,473440.33,995,,473968.02,988,468.2804038
Gulkana_avg,,,,,,,,,,390.7567857
Gulkana Hatchery (CL),63.067327,-145.513832,63.067361,-145.514103,467924.56,947,,468383.14,909,425.7602743
Tanada (CL),62.45133,-143.382153,62.451324,-143.382139,472002.65,883,,472343.24,887,418.9684539
Slana Bad Crossing 2,62.99571,-144.25937,62.995555,-144.258672,,,,503369.07,903,454.5422702
Slana Bone Creek,62.97175,-143.89551,62.971229,-143.894992,,,,489493,786,384.741498
Slana Mentasta (CL),62.917896,-143.821645,62.917898,-143.821612,471762.01,632,,472102.04,678,320.0851831
Slana Suslota,62.7051,-143.5894,62.705097,-143.589376,,,,451568.68,811,366.2221995
Slana_avg,,,,,,,,,,381.3977877