"Fish_ID_Revised","Fish_ID","GillClip_ID_Revised","GillClip_ID","Collection_Date","Processing_Date","Col_Location_Lat","Col_Location_Long","site","Fish_Wt","Fish_Leng_1","Fish_Leng_1_tape","Fish_Leng_2","Fish_Leng_2_tape","Fish_Ht","Fish_Ht_tape","Fish_Wdth","Fish_Grth","Sex","Gonad_Wt","DWP.","Fem_Fecun_1_num","Fem_Fecun_1_wt","Fem_Fecun_2_num","Fem_Fecun_2_wt","Fem_Fecun_3_num","Fem_Fecun_3_wt","Fem_Egg_Sz_1","Fem_Egg_Sz_2","Fem_Egg_Sz_3","Carcass.guts_Wt","Oto_Well_ID","Strontium_marked_Y.N","Scales_Y.N","Scales_num","Fish_Ground_Y.N","Gonad_Saved_Y.N","Gonad_Saved_wt","Fat_Meter_1._L","Fat_Meter_1._R","Fat_Meter_2._L","Fat_Meter_2._R","Fat_Meter_3._L","Fat_Meter_3._R","Fat_Meter_4._L","Fat_Meter_4._R","Dissect_Comments","Date_LabDryStart","Fish.BagWt_g","Date_LabDryFinal","DryFish.BagWt_g","Pwater","Pdry","Dry_Comments","Date_BCProcess","Bomb_ID_1","Bomb_PelletWt_g_1","EE_Value_1","EnergyDensity_mJ.kg_1","EnergyPDry_2","Bomb_ID_2","Bomb_PelletWt_g_2","EE_value_2","EnergyDensity_mJ.kg_2","EnergyPDry_2.1","Bomb_ID_3","Bomb_PelletWt_g_3","EE_value_3","EnergyDensity_mJ.kg_3","EnergyPDry_3","Bomb_ID_4","Bomb_PelletWt_g_4","EE_value_4","EnergyDensity_mJ.kg_4","EnergyPDry_4","BC_comments"
"BC-32-2020","BC-20-32","BC-32-20","BC-20-32","7/1/2020","7/9/2020",60.73831,-144.5687,"BC",2.31,44.8,NA,4.1,NA,12.8,NA,6.2,32.7,"F","0.236","1-C7",10,0.7544,10,0.5627,10,0.4766,4.5,4.4,4.4,1.88,"1-B11","N","Y","7","Y","Y",0.108,5.5,"5.5.",5.7,3.3,3.2,5.1,1.6,2.1,"","11/5/2020",56.1,"11/10/2020",19.9,0.6453,0.3547,NA,"11/15/2020",4,0.2715,923.3249,25.9703,9.212281105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"BC-33-2020","BC-20-33","BC-33-20","BC-20-33","7/1/2020","7/9/2020",60.73831,-144.5687,"BC",1.834,43,NA,3.5,NA,11.5,NA,6.1,29,"F","0.158","1-D5",NA,NA,NA,NA,NA,NA,5.2,NA,NA,1.518,"1-C5","N","Y","10","Y","Y",0.078,6.7,"3.4",6.9,6.1,4.4,5.4,2.1,3.2,"gooshy eggs","11/5/2020",61.2,"11/10/2020",21.9,0.6422,0.3578,NA,"11/15/2020",2,0.264,955.4635,26.8669,9.614135784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"BC-34-2020","BC-20-34","BC-34-20","BC-20-34","7/1/2020","7/10/2020",60.73831,-144.5687,"BC",1.832,43.3,NA,4,NA,11.3,NA,5.4,30.4,"F","0.142","1-D8",NA,NA,NA,NA,NA,NA,5.1,NA,NA,1.536,"1-C8","N","Y","7","Y","Y",0.074,7.6,"5.9",3.2,4.2,2.3,2.9,1.8,1.3,"Wormy guts - pete took photo, gooshy eggs","11/5/2020",56.8,"11/10/2020",20.5,0.6391,0.3609,NA,"11/15/2020",4,0.3874,923.3249,26.7063,9.63871743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"BC-35-2020","BC-20-35","BC-35-20","BC-20-35","7/1/2020","7/9/2020",60.73831,-144.5687,"BC",2.048,46.2,NA,4,NA,11.4,NA,5.9,29.1,"F","0.098","1-D6",NA,NA,NA,NA,NA,NA,4.2,NA,NA,1.78,"1-C6","N","Y","6","Y","Y",0.042,7.7,"6.2",5.7,5.6,3.8,4.2,1.9,3,"","11/5/2020",56.3,"11/10/2020",20.4,0.6377,0.3623,NA,"11/15/2020",2,0.3912,955.4635,26.5213,9.609849378,4,0.4298,923.3249,25.8724,9.374723979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"BC-36-2020","BC-20-36","BC-36-20","BC-20-36","7/1/2020","7/9/2020",60.73831,-144.5687,"BC",1.548,40.1,NA,3.7,NA,11.2,NA,5.1,28.4,"F","0.124","1-D3",10,0.4618,10,0.3906,10,0.4142,3.9,4.2,4,NA,"1-C3","N","Y","5","Y","Y",0.064,7.9,"10.6",6.8,6.9,4,4.9,1.1,3.1,"","11/5/2020",56.1,"11/10/2020",20.3,0.6381,0.3619,NA,"11/15/2020",2,0.4738,955.4635,28.467,10.30089305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"BC-37-2020","BC-20-37","BC-37-20","BC-20-37","7/1/2020","7/9/2020",60.73831,-144.5687,"BC",2.684,47.3,NA,6.2,NA,13.3,NA,6.3,33,"M","0.084","1-D2",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.392,"1-C2","N","Y","9","Y","Y",0.04,2.8,"3.1",2.4,3.1,1.8,1.5,1,1,"","11/5/2020",57.3,"11/10/2020",22.2,0.6126,0.3874,NA,"11/15/2020",4,0.4203,923.3249,23.9636,9.284326702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"BC-38-2020","BC-20-38","BC-38-20","BC-20-38","7/1/2020","7/9/2020",60.73831,-144.5687,"BC",2.402,46.6,NA,5.5,NA,13.6,NA,6.8,32.9,"M","0.028","1-D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.184,"1-C1","Y","Y","8","Y","Y",0.016,10.5,"8.7",7.9,8.6,5.5,8.1,4.5,4,"","11/5/2020",72.1,"11/10/2020",27.8,0.6144,0.3856,NA,"11/15/2020",2,0.4367,955.4635,28.3494,10.93083662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"BC-39-2020","BC-20-39","BC-39-20","BC-20-39","7/1/2020","7/10/2020",60.73831,-144.5687,"BC",1.786,42.2,NA,3.9,NA,11.5,NA,5.3,29.8,"F","0.078","1-E7",10,0.1876,10,0.1959,10,0.1616,3.6,3.4,3.4,1.58,"1-D3","N","Y","5","Y","Y",0.034,7.7,"8.9",8.6,6.4,6.5,5.2,3,3.5,"","11/5/2020",69.2,"11/10/2020",26.4,0.6185,0.3815,NA,"11/15/2020",4,0.4372,923.3249,27.5083,10.49449595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"BC-40-2020","BC-20-40","BC-40-20","BC-20-40","7/1/2020","7/10/2020",60.73831,-144.5687,"BC",2.686,45.6,NA,5.8,NA,13.4,NA,6,33.7,"M","0.026","1-E5",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.442,"1-D1","Y","Y","10","Y","Y",0.012,10.7,"8.9",11,9.3,6.5,5.5,3,2,"","11/5/2020",66.9,"11/10/2020",25.1,0.6248,0.3752,NA,"11/15/2020",2,0.4854,955.4635,29.8175,11.18713378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"CA-1-2020","CA-20-41","CA-1-20","CA-20-41","8/5/2020","9/23/2020",61.586499,-144.427586,"CA",1.492,41.8,NA,4.8,NA,9.9,NA,5.1,25.4,"M","0.018","2-B6",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.366,"2-B2","Y","Y","6","Y","Y",0.01,3.9,"3.3",3.2,2.4,1.6,1.2,0.8,0.8,"","11/14/2020",121.1,"11/19/2020",35.2,0.7093,0.2907,NA,"11/23/2020",2,0.4236,955.4635,25.2043,7.326105367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"CA-2-2020","CA-20-42","CA-2-20","CA-20-42","8/6/2020","9/23/2020",61.586499,-144.427586,"CA",2.206,45.3,NA,6.3,NA,11.8,NA,5.6,29.2,"M","0.064","2-A7 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.994,"2-A7","N","Y","5","Y","Y",0.03,1.1,"0.8",0.8,0.8,1.3,0.8,1.6,0.7,"","11/14/2020",115.1,"11/19/2020",31.3,0.7281,0.2719,NA,"11/23/2020",4,0.3961,923.3249,23.4554,6.378401564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"CA-3-2020","CA-20-43","CA-3-20","CA-20-43","8/6/2020","9/28/2020",61.586499,-144.427586,"CA",2.29,46.7,NA,3.9,NA,12,NA,5.8,30.8,"F","0.266","Fin Well ID 3(2)",NA,NA,NA,NA,NA,NA,5.1,NA,NA,1.93,"2-E3","N","Y","5","Y","Y",0.116,0.7,"0.7",0.7,0.8,0.8,0.8,0.8,0.7,"","11/14/2020",175,"11/19/2020",47.7,0.7274,0.2726,NA,"11/24/2020",2,0.394,955.4635,23.7983,6.486736629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"CA-4-2020","CA-20-44","CA-4-20","CA-20-44","8/6/2020","9/28/2020",61.586499,-144.427586,"CA",1.492,41.4,NA,3.5,NA,10,NA,5,26,"F","0.158","Fin well ID 7(2)",10,0.804,NA,NA,NA,NA,4.2,NA,NA,1.248,"2-E7","N","Y","5","Y","Y",0.076,1,"0.7",0.7,1.2,0.6,0.7,0.5,0.9,"","11/14/2020",108.1,"11/19/2020",28.1,0.7401,0.2599,NA,"11/24/2020",2,0.4491,955.4635,23.668,6.152366327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"CA-5-2020","CA-20-45","CA-5-20","CA-20-45","8/6/2020","9/23/2020",61.586499,-144.427586,"CA",1.452,40.6,NA,4.5,NA,10.6,NA,4.7,26.1,"M","0.048","2-B5",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.312,"2-B1","N","Y","6","Y","Y",0.024,3.9,"1.6",1.5,1.5,1.4,1.4,0.8,0.8,"","11/14/2020",161.5,"11/19/2020",48.1,0.7022,0.2978,NA,"11/24/2020",2,0.4778,955.4635,23.399,6.968990093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"CA-6-2020","CA-20-46","CA-6-20","CA-20-46","8/6/2020","9/23/2020",61.586499,-144.427586,"CA",1.17,38.1,NA,4.8,NA,9.7,NA,4.2,23.9,"M","0.056","2-A5 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.032,"2-A5","N","Y","6","Y","Y",0.028,1.6,"1.5",2.9,1.2,2.3,0.9,1.6,0.8,"","11/14/2020",183.8,"11/19/2020",51.9,0.7176,0.2824,NA,"11/24/2020",2,0.3783,955.4635,24.0486,6.790654733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"CA-7-2020","CA-20-47","CA-7-20","CA-20-47","8/6/2020","9/28/2020",61.586499,-144.427586,"CA",1.63,41.9,NA,3.6,NA,10.5,NA,5.3,27.6,"F","0.190","Fin well ID 48",10,0.7253,NA,NA,NA,NA,5,NA,NA,1.35,"2-D12","N","Y","5","Y","Y",0.076,1.3,"1.1",1.5,1.3,1,0.8,1.3,0.6,"","11/14/2020",182.3,"11/19/2020",54.4,0.7016,0.2984,NA,"11/24/2020",2,0.3975,955.4635,25.6418,7.651749424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"CA-8-2020","CA-20-48","CA-8-20","CA-20-48","8/6/2020","9/23/2020",61.586499,-144.427586,"CA",1.91,44.5,NA,5.1,NA,11.7,NA,5.5,28.1,"M","0.058","2-B3",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.752,"2-A11","N","Y","5","Y","Y",0.03,4,"4.2",3.9,5.1,2.8,1.8,1.2,1.3,"","11/14/2020",146.8,"11/19/2020",48.2,0.6717,0.3283,NA,"11/24/2020",2,0.4147,955.4635,16.4674,5.406871117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"CA-9-2020","CA-20-49","CA-9-20","CA-20-49","8/6/2020","9/24/2020",61.586499,-144.427586,"CA",1.76,43.4,NA,5.4,NA,10.5,NA,4.9,26.6,"M","0.064","2-C1 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.592,"2-B5","N","Y","6","Y","Y",0.036,0.8,"0.8",0.8,0.7,0.7,0.7,0.6,0.6,"","11/14/2020",114.3,"11/19/2020",29.7,0.7402,0.2598,NA,"11/24/2020",2,0.381,955.4635,23.7752,6.177807874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"CA-10-2020","CA-20-50","CA-10-20","CA-20-50","8/6/2020","9/23/2020",61.586499,-144.427586,"CA",2.442,48.2,NA,5.8,NA,13,NA,5.7,30.8,"M","0.044","2-B7 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.244,"2-B3","Y","Y","6","Y","Y",0.024,6.6,"5.5",5.9,5.7,3.7,5.6,1.5,2.3,"","11/14/2020",158.3,"11/19/2020",55.6,0.6488,0.3512,NA,"11/24/2020",2,0.4336,955.4635,29.0382,10.19914037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"CA-11-2020","CA-20-51","CA-11-20","CA-20-51","8/6/2020","9/28/2020",61.586499,-144.427586,"CA",1.798,44.3,NA,4,NA,10.5,NA,5.2,27,"F","0.230","Fin well ID 1(2)",10,0.7713,NA,NA,NA,NA,4.6,NA,NA,1.474,"2-E1 (1 oto)","N","Y","5","Y","Y",0.106,NA,"",NA,NA,NA,NA,NA,NA,"","11/23/2020",96.9,"1/5/2021",24.6,0.7461,0.2539,NA,"2/5/2021",4,0.407,923.3249,21.7376,5.518523839,4,0.4458,923.3249,21.4656,5.449471207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"CA-12-2020","CA-20-52","CA-12-20","CA-20-52","8/6/2020","9/28/2020",61.586499,-144.427586,"CA",1.66,42,NA,3.7,NA,10.5,NA,5,26.8,"F","0.180","Fin clip ID: 46",10,0.6211,NA,NA,NA,NA,4.4,NA,NA,1.384,"2-D10 (1 oto)","Y","Y","6","Y","Y",0.086,4.3,"3.5",4.2,2.8,4.5,3.1,2.7,1.9,"","11/23/2020",108.9,"1/5/2021",35.4,0.6749,0.3251,NA,"2/5/2021",2,0.4661,955.4635,25.5009,8.28954876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"CA-13-2020","CA-20-53","CA-13-20","CA-20-53","8/6/2020","9/28/2020",61.586499,-144.427586,"CA",1.426,39.9,NA,3.6,NA,10.4,NA,4.7,26.1,"F","0.164","Fin well ID: 9(2)",NA,NA,NA,NA,NA,NA,4.2,NA,NA,1.198,"2-E9 (1 oto)","N","Y","6","Y","Y",0.092,0.8,"0.8",1.1,1.6,1.9,0.7,0.7,0.6,"","11/23/2020",108.4,"1/5/2021",28.6,0.7362,0.2638,NA,"2/5/2021",2,0.4873,955.4635,23.876,6.299387454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"CA-14-2020","CA-20-54","CA-14-20","CA-20-54","8/6/2020","",61.586499,-144.427586,"CA",2.076,48.5,NA,3.6,NA,10.5,NA,5.4,28,"F","0.180","Fin well ID 2(2)",NA,NA,NA,NA,NA,NA,4.6,NA,NA,1.806,"2-E2","Y","Y","4","Y","Y",0.09,1.3,"1.7",1,1.4,0.8,1.3,0.8,0.7,"","11/23/2020",133,"1/5/2021",39.7,0.7015,0.2985,NA,"2/5/2021",4,0.5125,923.3249,18.1292,5.411498045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"CA-15-2020","CA-20-55","CA-15-20","CA-20-55","8/6/2020","9/24/2020",61.586499,-144.427586,"CA",1.74,43.4,NA,5.3,NA,11.4,NA,4.9,27.5,"","0.082","2-D5 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.534,"2-C5 (1 oto)","N","Y","","Y","Y",0.042,1.2,"1.6",1,1.4,0.8,2.1,1.7,0.9,"","11/23/2020",89.5,"1/5/2021",25.6,0.714,0.286,NA,"2/5/2021",4,0.424,923.3249,24.0732,6.885742123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"CA-16-2020","CA-20-56","CA-16-20","CA-20-56","8/6/2020","9/28/2020",61.586499,-144.427586,"CA",1.872,44,NA,4,NA,11.2,NA,5.2,28.5,"F","0.192","Fin Well ID: 5(2)",NA,NA,NA,NA,NA,NA,5.1,NA,NA,1.582,"2-E5 (1 OTO)","N","Y","6","Y","Y",0.076,2.1,"1.6",1.8,1.5,1.6,1.9,1.3,0.8,"","11/23/2020",110,"1/5/2021",33.1,0.6991,0.3009,NA,"2/5/2021",4,0.3226,923.3249,18.0088,5.419011636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"CA-17-2020","CA-20-57","CA-17-20","CA-20-57","8/6/2020","9/23/2020",61.586499,-144.427586,"CA",2.374,49.7,NA,7.2,NA,12.4,NA,6,30.2,"M","0.074","2-B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.16,"2-A9","Y","Y","6","Y","Y",0.038,1.7,"1.5",1.7,1.8,1.2,1.5,0.8,1.5,"","11/23/2020",86.8,"1/5/2021",26.5,0.6947,0.3053,NA,"2/5/2021",2,0.4074,955.4635,20.7262,6.327699309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"CA-18-2020","CA-20-58","CA-18-20","CA-20-58","8/6/2020","9/23/2020",61.586499,-144.427586,"CA",1.352,40.3,NA,4.8,NA,10,NA,4.6,26,"M","0.042","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.236,"2-A2","Y","Y","5","Y","Y",0.02,4.6,"3.3",2.8,2,3.4,1.4,1.2,1.4,"","11/23/2020",114.7,"1/5/2020",37,0.6774,0.3226,NA,"2/5/2021",2,0.4213,955.4635,24.9155,8.037258065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"CA-19-2020","CA-20-59","CA-19-20","CA-20-59","8/6/2020","9/28/2020",61.586499,-144.427586,"CA",1.336,40,NA,3.8,NA,9.7,NA,4.8,25.6,"F","0.134","Fin well ID 47",NA,NA,NA,NA,NA,NA,5.2,NA,NA,1.132,"2-D11","N","Y","8","Y","Y",0.064,1.5,"2.5",1.2,1.6,1.1,1.2,2,1,"","11/23/2020",93.4,"1/5/2021",27.2,0.7088,0.2912,NA,"2/5/2021",4,0.4181,923.3249,23.8014,6.931456959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"CA-20-2020","CA-20-60","CA-20-20","CA-20-60","8/6/2020","9/23/2020",61.586499,-144.427586,"CA",2.296,47.3,NA,6.2,NA,12,NA,6,29.9,"M","0.090","2-B4 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.068,"2-A12 (1 OTO)","Y","Y","6","Y","Y",0.044,4.1,"2.8",5.1,2.5,3,1.5,1,0.9,"","11/23/2020",128,"1/5/2020",41.3,0.6773,0.3227,NA,"2/5/2021",2,0.423,955.4635,27.4226,8.848073281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"MN-1-2020","MN-20-1","MN-1-20","MN-20-1","7/30/2020","9/23/2020",62.94958,-143.35984,"MN",1.896,45.4,NA,7,NA,13.3,NA,5.5,31.5,"M","0.05","2-A6 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.71,"2-A6 (1 OTO","N","Y (bad scales)","","Y","Y",0.028,0.5,"0.3",0.2,0.3,0.3,0.3,0.4,0.5,"","1/10/2021",104.1,"1/14/2021",19.7,0.8108,0.1892,NA,"2/8/2021",4,0.4666,923.3249,20.1929,3.821326897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"MN-2-2020","MN-20-2","MN-2-20","MN-20-2","7/30/2020","9/24/2020",62.94958,-143.35984,"MN",2.024,45.6,NA,6.7,NA,14,NA,4.3,32,"M","0.036","2-C3",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.848,"2-B7 (1 OTO)","N","","","Y","Y",0.02,0.4,"0.4",0.4,0.5,0.6,0.5,0.6,0.5,"","1/10/2021",81.3,"1/14/2021",15.6,0.8081,0.1919,NA,"2/8/2021",2,0.3468,955.4635,19.8806,3.814727675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"MN-3-2020","MN-20-3","MN-3-20","MN-20-3","7/30/2020","9/26/2020",62.94958,-143.35984,"MN",1.04,38.8,NA,4.4,NA,11,NA,2.9,NA,"M","0.03","Fin well ID 41",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.946,"2-D5 (1 OTO)","N","Y","5","Y","Y",0.016,0.3,"0.4",0.4,0.3,0.4,0.5,0.4,0.5,"","1/10/2021",103.6,"1/14/2021",18.3,0.8234,0.1766,NA,"2/8/2021",4,0.4429,923.3249,19.3462,3.417330695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"MN-4-2020","MN-20-4","MN-4-20","MN-20-4","7/30/2020","9/28/2020",62.94958,-143.35984,"MN",1.642,49.9,NA,7.4,NA,12.5,NA,4.4,30.6,"M","0.038","Fin well ID 17(2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.492,"2-F5","N","Y","3","Y","Y",0.016,0.3,"0.3",0.3,0.5,0.3,0.3,0.4,0.5,"","1/10/2021",79.3,"1/14/2021",14.6,0.8159,0.1841,NA,"2/8/2021",2,0.5085,955.4635,20.8907,3.846207062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
