Models,Intercept,Intercept.SE,CollLoc_Distance.m,CollLoc_Distance.m.SE,RunTimingGroupLate,RunTimingGroupLate.SE,RunTimingGroupMiddle,RunTimingGroupMiddle.SE,Collection_Year2020,Collection_Year2020.SE,Collection_Year2021,Collection_Year2021.SE,SexM,SexM.SE,RunTimingGroupLate.SexM,RunTimingGroupLate.SexM.SE,RunTimingGroupMiddle.SexM,RunTimingGroupMiddle.SexM.SE,Collection_Year2020.SexM,Collection_Year2020.SexM.SE,Collection_Year2021.SexM,Collection_Year2021.SexM.SE,AIC.c.W
EnergyPDry_1~1,8.408967852,0.096908275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.00579357341941e-29
EnergyPDry_1~CollLoc_Distance.m + RunTimingGroup,10.40505826,0.200669059,-1.76E-05,1.96427561197565e-06,-0.974828489,0.179691009,-0.170496134,0.169124862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001634258
EnergyPDry_1~CollLoc_Distance.m + Collection_Year,11.72687486,0.384351607,-3.11E-05,2.83164039626654e-06,NA,NA,NA,NA,-0.183965885,0.206122899,-1.193331929,0.261785001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000774082
EnergyPDry_1~CollLoc_Distance.m + Sex,10.43966204,0.211211195,-2.17E-05,1.9799586315327e-06,NA,NA,NA,NA,NA,NA,NA,NA,-0.075096422,0.150270633,NA,NA,NA,NA,NA,NA,NA,NA,1.2810024526122e-09
EnergyPDry_1~CollLoc_Distance.m + RunTimingGroup + Sex,10.43312808,0.213381462,-1.76E-05,1.96914854598481e-06,-0.973184648,0.180174418,-0.170496134,0.169534439,NA,NA,NA,NA,-0.054757176,0.138877774,NA,NA,NA,NA,NA,NA,NA,NA,0.000606737
EnergyPDry_1~CollLoc_Distance.m + RunTimingGroup + Collection_Year,11.04350286,0.419583793,-2.33E-05,3.29809243318453e-06,-0.799991514,0.190466475,-0.170496134,0.162430355,0.127177093,0.210923326,-0.643941135,0.283239374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73164994
EnergyPDry_1~CollLoc_Distance.m + Collection_Year + Sex,11.75590738,0.390599686,-3.11E-05,2.83839892056991e-06,NA,NA,NA,NA,-0.182697304,0.206613514,-1.191018099,0.262434073,-0.062714903,0.139418816,NA,NA,NA,NA,NA,NA,NA,NA,0.000294395
EnergyPDry_1~CollLoc_Distance.m + RunTimingGroup + Sex + RunTimingGroup*Sex,10.53110954,0.234407795,-1.76E-05,1.97124004123439e-06,-1.199318862,0.2518061,-0.256649424,0.23998373,NA,NA,NA,NA,-0.256682542,0.23998373,0.438088904,0.341076773,0.17230658,0.339388246,NA,NA,NA,NA,0.000163192
EnergyPDry_1~CollLoc_Distance.m + Collection_Year + Sex + Collection_Year*Sex,11.7044024,0.402082891,-3.11E-05,2.82762424669161e-06,NA,NA,NA,NA,-0.245963694,0.269348588,-0.952408703,0.31313699,0.057907291,0.239766046,NA,NA,NA,NA,0.11692278,0.340590782,-0.475015677,0.339174675,0.000191975
EnergyPDry_1~CollLoc_Distance.m + RunTimingGroup + Collection_Year + Sex,11.06901196,0.425659648,-2.33E-05,3.30620184307673e-06,-0.798689532,0.190963884,-0.170496134,0.162829715,0.127663759,0.211445587,-0.643020475,0.283945552,-0.052079263,0.133390065,NA,NA,NA,NA,NA,NA,NA,NA,0.26468542