,Paralik,s.W.ParaEst,UncondSE,UncondCI
Intercept,1,11.049623,0.422383679,0.82787201
CollLoc_Distance.m,1,-2.33E-05,3.31E-06,6.49E-06
RunTimingGroupLate,0.998739547,-0.799094525,0.190541729,0.37346179
RunTimingGroupMiddle,0.998739547,-0.170295291,0.162361813,0.318229154
Collection_Year2020,0.997595812,0.126596439,0.210776191,0.413121334
Collection_Year2021,0.997595812,-0.642794842,0.283125397,0.554925779
SexM,0.26594172,-0.01386708,0.03696164,0.072444814
RunTimingGroupLate.SexM,0.000163192,7.15E-05,9.06E-05,0.000177569
RunTimingGroupMiddle.SexM,0.000163192,2.81E-05,6.21E-05,0.000121741
Collection_Year2020.SexM,0.000163192,2.24E-05,6.91E-05,0.000135493
Collection_Year2021.SexM,0.000163192,-9.12E-05,0.000112037,0.000219593