"unique_id","site","species","fluidigm_num","tray","run_by","scored_by","tissue","lod_applied","Arena1","arena2","ascv","Bafini_b","c_b_cys","ce_sha","Circo.virus","cov","ctv","de_sal","fa_mar","fl_psy","Hantavirus","hkg","hkg_r","ic_hof","ic_mul","IcD","ihnv","lo_sal","my_arc","my_ins","na_sal","ne_per","Nido2_a","pa_kab","pa_min","pa_pse","pa_ther","Picorna2_virus","pisck_sal","prv","pspv","Qin","reov","Rhabdo3_virus","rlo","Salmovirus","sch","smallUK","sp_des","te_bry","te_mar","toti","ven","vhsv","vi_ang","vi_sal"
"2019-0046-118-LL9","LL","Sockeye","LL9",4010,"KK","KK","Gill",TRUE,0,0,0,NA,2046.402192,0,NA,0,0,0,0,5920.916002,NA,3.99e-38,3.99e-38,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-MA1","MA","Sockeye","MA1",4010,"KK","KK","Gill",TRUE,0,0,0,NA,916738.2809,0,NA,0,0,0,0,101722.2948,NA,1.77e-37,1.77e-37,0,0,NA,149073.4016,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,47489.42386,0,0,0,0,0,0,0
"2019-0046-118-MA10","MA","Sockeye","MA10",4010,"KK","KK","Gill",TRUE,0,0,0,NA,7964476.562,0,NA,0,0,0,0,271319.2254,NA,1.27e-52,1.27e-52,0,0,NA,732.7487243,74024.11677,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,9789.043584,0,0,0,0,0,0,0
"2019-0046-118-MA2","MA","Sockeye","MA2",4010,"KK","KK","Gill",TRUE,0,0,0,NA,191588.7352,0,NA,0,0,0,0,24484.16025,NA,1.2e-40,1.2e-40,0,0,NA,2691.451555,0,0,0,0,0,NA,0,12.40466809,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,925.1840592,3792.580456,0,0,0,0,0,0
"2019-0046-118-MA4","MA","Sockeye","MA4",4010,"KK","KK","Gill",TRUE,0,0,0,NA,756640.9241,0,NA,0,0,0,0,5286.280438,NA,1.24e-49,1.24e-49,0,0,NA,29.92573903,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,253.9884923,0,0,0,0,0,0,0
"2019-0046-118-MA5","MA","Sockeye","MA5",4010,"KK","KK","Gill",TRUE,0,0,0,NA,470208.9052,0,NA,0,0,0,0,43622.8894,NA,1.07e-36,1.07e-36,0,0,NA,9.985335361,315.0420066,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,351.0218481,0,0,0,0,0,0,0
"2019-0046-118-MA7","MA","Sockeye","MA7",4010,"KK","KK","Gill",TRUE,0,0,0,NA,5023864.067,0,NA,0,0,0,0,1101730.236,NA,1.11e-48,1.11e-48,0,38.28562006,NA,21739.85479,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,5106.623648,0,0,0,0,0,0,0
"2019-0046-118-MA8","MA","Sockeye","MA8",4010,"KK","KK","Gill",TRUE,0,0,0,NA,4705713.623,0,NA,0,0,0,0,57870.93256,NA,5.05e-45,5.05e-45,0,0,NA,6447.006247,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,63.65365642,0,0,0,0,0,0,0
"2019-0046-118-MA9","MA","Sockeye","MA9",4010,"KK","KK","Gill",TRUE,0,0,0,NA,3426169.239,0,NA,0,0,0,0,29745415,NA,2.55e-53,2.55e-53,0,10304.48551,NA,1497163.327,869.1956258,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-MN1","MN","Sockeye","MN1",4010,"KK","KK","Gill",TRUE,0,0,0,NA,1092479.01,0,NA,0,0,0,0,151644.2477,NA,2.95e-39,2.95e-39,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-MN10","MN","Sockeye","MN10",4010,"KK","KK","Gill",TRUE,0,0,0,NA,184593.8553,0,NA,0,0,0,0,34733.31135,NA,7.3e-35,7.3e-35,0,0,NA,28380.98918,294.2698849,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-MN2","MN","Sockeye","MN2",4010,"KK","KK","Gill",TRUE,0,0,0,NA,167536.3863,0,NA,0,0,0,0,345798.2668,NA,8.1e-36,8.1e-36,0,0,NA,11030.84188,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-MN3","MN","Sockeye","MN3",4010,"KK","KK","Gill",TRUE,0,0,0,NA,1153874.991,0,NA,0,0,0,0,926827.3636,NA,6.75e-40,6.75e-40,0,0,NA,7896.215153,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-MN5","MN","Sockeye","MN5",4010,"KK","KK","Gill",TRUE,0,0,0,NA,769683.5149,0,NA,0,0,0,0,13060.72489,NA,7.25e-45,7.25e-45,0,0,NA,0,97.48834177,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-MN6","MN","Sockeye","MN6",4010,"KK","KK","Gill",TRUE,0,0,0,NA,2100.526139,0,NA,0,0,0,0,406.6407707,NA,200621485.9,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-MN7","MN","Sockeye","MN7",4010,"KK","KK","Gill",TRUE,0,0,0,NA,19563.76119,0,NA,0,0,0,0,4513.576927,NA,1.86e-37,1.86e-37,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-MN9","MN","Sockeye","MN9",4010,"KK","KK","Gill",TRUE,0,0,0,NA,2259451.032,0,NA,0,0,0,0,79041.39622,NA,5.9e-36,5.9e-36,0,0,NA,1963.052012,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-PC10","PC","Sockeye","PCL10",4010,"KK","KK","Gill",TRUE,0,0,0,NA,2303209.367,0,NA,0,0,0,0,1080014.468,NA,1.06e-49,1.06e-49,0,0,NA,0,24.14406662,0,0,0,0,NA,0,11581770.41,0,0,NA,0,0,0,NA,0,NA,0,NA,6.220343367,0,0,0,0,0,0,0,0,0
"2019-0046-118-PC11","PC","Sockeye","PCL11",4010,"KK","KK","Gill",TRUE,0,0,0,NA,1429679.689,0,NA,0,0,0,0,269408.2719,NA,6.15e-48,6.15e-48,0,0,NA,0,0,0,0,0,0,NA,0,14141.18321,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-PC15","PC","Sockeye","PCL15",4010,"KK","KK","Gill",TRUE,0,0,0,NA,319482.0611,0,NA,0,0,0,0,686718.5416,NA,6.05e-51,6.05e-51,0,0,NA,0,15306.42799,0,0,0,0,NA,0,348038.8808,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-PC18","PC","Sockeye","PCL18",4010,"KK","KK","Gill",TRUE,0,0,0,NA,38190.13367,0,NA,0,0,0,0,134518.9962,NA,3.77e-42,3.77e-42,0,0,NA,0,2521020.184,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-PC19","PC","Sockeye","PCL19",4010,"KK","KK","Gill",TRUE,0,0,0,NA,169271.8295,0,NA,0,0,0,0,4753577.342,NA,7.02e-48,7.02e-48,0,311.6188504,NA,23.07377629,0,0,0,0,0,NA,0,7847355.75,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-PC5","PC","Sockeye","PCL5",4010,"KK","KK","Gill",TRUE,0,0,0,NA,147097.2746,0,NA,0,0,0,0,2175784.84,NA,9.35e-46,9.35e-46,0,0,NA,2282.146437,15.23958157,0,0,0,0,NA,0,31813350.55,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,15.48431819,0,0,0,0,0,0,0
"2019-0046-118-PC6","PC","Sockeye","PCL6",4010,"KK","KK","Gill",TRUE,0,0,0,NA,1295499.186,0,NA,0,0,0,0,2243075.77,NA,1.31e-45,1.31e-45,0,0,NA,0,12120.12545,0,0,0,0,NA,0,18494776.89,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,7192.369586,0,0,0,0,0,0,0
"2019-0046-118-PC9","PC","Sockeye","PCL9",4010,"KK","KK","Gill",TRUE,0,0,0,NA,1492500.76,0,NA,0,0,0,0,20556265.46,NA,1.46e-46,1.46e-46,0,57.6023,NA,7655.015329,0,0,0,0,0,NA,0,1605.330888,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-SA1","SA","Sockeye","SA1",4010,"KK","KK","Gill",TRUE,0,0,0,NA,5627857.257,0,NA,0,0,0,0,2563772.957,NA,8.9e-40,8.9e-40,0,205.9152588,NA,289.204983,2799524.173,0,0,0,0,NA,0,0,1388.946418,0,NA,0,0,0,NA,0,NA,0,NA,0,0,835.7360477,0,0,0,0,0,0,0
"2019-0046-118-SA10","SA","Sockeye","SA10",4010,"KK","KK","Gill",TRUE,0,0,0,NA,3565581.4,0,NA,0,0,0,0,11440.65029,NA,2.75e-53,2.75e-53,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,447.3944929,0,0,0,0,0,0,0
"2019-0046-118-SA2","SA","Sockeye","SA2",4010,"KK","KK","Gill",TRUE,0,0,0,NA,4317133.49,0,NA,0,0,0,0,22707091.37,NA,1.68e-55,1.68e-55,0,44050.49583,NA,8331484.708,5441.418464,0,0,0,0,NA,0,145.2557608,39.17907263,0,NA,0,0,0,NA,0,NA,0,NA,0,0,14299.45974,0,0,0,0,0,0,0
"2019-0046-118-SA4","SA","Sockeye","SA4",4010,"KK","KK","Gill",TRUE,0,0,0,NA,1438294.349,0,NA,0,0,0,0,3637435.37,NA,3.59e-45,3.59e-45,0,266.580092,NA,42139.19149,119.6382999,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,6229.714742,0,0,0,0,0,0,0
"2019-0046-118-SA5","SA","Sockeye","SA5",4010,"KK","KK","Gill",TRUE,0,0,0,NA,1637866.171,0,NA,0,0,0,0,32472.42697,NA,2.03e-54,2.03e-54,0,100.8484082,NA,17144.23433,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,4230.916363,0,0,0,0,0,0,0
"2019-0046-118-SA6","SA","Sockeye","SA6",4010,"KK","KK","Gill",TRUE,0,0,0,NA,8925508.818,0,NA,0,0,0,0,84727.98829,NA,1.39e-42,1.39e-42,0,0,NA,0,1885769.998,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-SA7","SA","Sockeye","SA7",4010,"KK","KK","Gill",TRUE,0,0,0,NA,390829.8092,0,NA,0,0,0,0,579277.2899,NA,1.88e-43,1.88e-43,0,0,NA,3527.096927,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-SA8","SA","Sockeye","SA8",4010,"KK","KK","Gill",TRUE,0,0,0,NA,2730468.176,0,NA,0,0,0,0,35110.27581,NA,1.22e-46,1.22e-46,0,0,NA,980.8670267,138.2991615,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,625.5969977,0,0,0,0,0,0,0
"2019-0046-118-TNL1","TNL","Sockeye","TNL1",4010,"KK","KK","Gill",TRUE,0,0,0,NA,5211063.385,0,NA,0,0,0,0,2535.760195,NA,1.05e-39,1.05e-39,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-TNL10","TNL","Sockeye","TNL10",4010,"KK","KK","Gill",TRUE,0,0,0,NA,1086828.828,0,NA,0,0,0,0,8553.175255,NA,4.83e-40,4.83e-40,0,0,NA,0,4041180.735,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-TNL2","TNL","Sockeye","TNL2",4010,"KK","KK","Gill",TRUE,0,0,0,NA,515558.6714,0,NA,0,0,0,0,0,NA,7.05e-41,7.05e-41,0,0,NA,0,6022.941792,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-TNL3","TNL","Sockeye","TNL3",4010,"KK","KK","Gill",TRUE,0,0,0,NA,3274429.241,0,NA,0,0,28.56675504,0,2123.497106,NA,6.95e-38,6.95e-38,0,0,NA,0,0,0,0,0,0,NA,0,0,659.3063892,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,299.6701948,0,0,0,0,0,0
"2019-0046-118-TNL5","TNL","Sockeye","TNL5",4010,"KK","KK","Gill",TRUE,0,0,0,NA,471187.0735,0,NA,0,0,0,0,1021.363246,NA,3.31e-36,3.31e-36,0,0,NA,0,1104318.114,0,0,0,0,NA,0,24.98583143,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-TNL6","TNL","Sockeye","TNL6",4010,"KK","KK","Gill",TRUE,0,0,0,NA,904033.8706,0,NA,0,0,8.913916416,0,1199.263896,NA,5.75e-44,5.75e-44,0,0,NA,0,1021184.559,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,537.1851404,0,0,0,0,0,0
"2019-0046-118-TNL7","TNL","Sockeye","TNL7",4010,"KK","KK","Gill",TRUE,0,0,0,NA,1568424.328,0,NA,0,0,0,0,1683.453188,NA,1.31e-30,1.31e-30,0,0,NA,3269.168008,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-TNL9","TNL","Sockeye","TNL9",4010,"KK","KK","Gill",TRUE,0,0,0,NA,1419746.106,0,NA,0,0,0,0.6879286175,14797.89899,NA,3.18e-40,3.18e-40,0,0,NA,57.17286088,200.5759949,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,265.4251346,0,0,0,0,0,0,0
